#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
856,Yusei Kikuchi,TOR,6,7,1,32,20,100.2,11.09,5.19,2.06,.292,72.8%,43.9%,23.7%,94.9,5.19,5.63,5.62,4.07,-0.7
67,Jesus Luzardo,MIA,4,7,0,18,18,100.1,10.76,3.14,0.90,.253,71.7%,40.1%,11.5%,96.4,3.32,3.39,3.12,3.11,2.2
195,Taylor Hearn,TEX,6,8,1,31,13,100.0,8.73,3.87,0.99,.325,67.6%,37.6%,9.9%,94.8,5.13,4.81,3.98,4.20,0.9
137,Mitch White,- - -,1,7,0,25,18,99.0,7.09,3.18,0.82,.321,63.5%,43.0%,7.8%,93.7,5.45,4.14,3.87,4.42,1.3
829,Mike Minor,CIN,4,12,0,19,19,98.0,6.98,3.67,2.20,.312,71.2%,34.3%,16.4%,90.4,6.06,4.59,6.18,5.21,-0.4
157,Michael Lorenzen,LAA,8,6,0,18,18,97.2,7.83,4.05,1.01,.262,71.3%,50.2%,12.4%,95.0,4.24,3.91,4.31,4.20,1.0
241,Ryan Feltner,COL,4,9,0,20,19,97.1,7.77,3.24,1.48,.299,64.4%,41.3%,13.4%,94.5,5.83,4.91,4.76,4.43,0.6
134,Aaron Civale,CLE,5,6,0,20,20,97.0,9.09,2.04,1.30,.297,62.5%,41.2%,13.1%,90.9,4.92,3.80,3.87,3.62,1.3
212,Jose Urena,- - -,3,8,0,21,17,97.0,5.85,3.99,1.02,.312,66.1%,49.7%,11.7%,96.0,5.01,4.94,4.65,4.61,0.8
181,Roansy Contreras,PIT,5,5,0,21,18,95.0,8.15,3.69,1.23,.257,74.4%,36.4%,10.7%,95.8,3.79,4.43,4.38,4.48,0.9
118,Antonio Senzatela,COL,3,7,0,19,19,92.1,5.26,2.24,0.88,.383,70.4%,49.4%,11.3%,94.3,5.07,5.24,4.06,4.07,1.4
242,Eduardo Rodriguez,DET,5,5,0,17,17,91.0,7.12,3.36,1.19,.277,69.7%,43.4%,11.5%,92.0,4.05,4.20,4.43,4.41,0.6
243,Trevor Williams,NYM,3,5,1,30,9,89.2,8.43,2.31,1.20,.301,82.3%,36.2%,11.1%,91.2,3.21,3.67,3.88,3.93,0.6
114,Braxton Garrett,MIA,3,7,0,17,17,88.0,9.20,2.45,0.92,.321,76.4%,47.8%,11.8%,91.5,3.58,4.05,3.56,3.51,1.5
311,Erasmo Ramirez,WSN,4,2,0,60,2,86.1,6.36,1.46,1.15,.267,81.3%,45.2%,12.2%,93.9,2.92,3.49,4.05,3.94,0.4
314,Kyle Hendricks,CHC,4,6,0,16,16,84.1,7.04,2.56,1.60,.282,73.6%,36.2%,13.5%,87.1,4.80,5.07,4.82,4.46,0.4
248,Bailey Falter,PHI,6,4,0,20,16,84.0,7.93,1.82,1.71,.292,80.6%,31.7%,14.4%,91.6,3.86,4.62,4.65,4.13,0.6
175,Brock Burke,TEX,7,5,0,52,0,82.1,9.84,2.62,0.98,.266,83.8%,39.6%,10.0%,95.1,1.97,3.31,3.30,3.49,0.9
278,Keegan Akin,BAL,3,3,2,45,1,81.2,8.49,2.20,1.10,.267,72.4%,49.3%,13.5%,93.7,3.20,3.62,3.59,3.34,0.5
396,Beau Brieske,DET,3,6,0,15,15,81.2,5.95,2.76,1.54,.241,75.6%,37.5%,12.5%,94.4,4.19,5.60,4.97,4.78,0.1
526,Luis Cessa,CIN,4,4,0,46,10,80.2,6.58,3.12,1.56,.266,71.8%,48.8%,16.9%,93.5,4.57,4.43,5.02,4.29,0.0
496,Ryan Yarbrough,TBR,3,8,0,20,9,80.0,6.86,2.48,1.35,.305,73.9%,37.9%,11.5%,86.9,4.50,4.40,4.78,4.75,0.0
424,Jaime Barria,LAA,3,3,0,35,1,79.1,6.13,2.16,1.25,.227,80.5%,40.9%,11.3%,92.1,2.61,4.11,4.39,4.39,0.1
123,Garrett Whitlock,BOS,4,2,6,31,9,78.1,9.42,1.72,1.15,.271,73.1%,40.8%,12.0%,96.1,3.45,3.17,3.29,3.20,1.4
77,Freddy Peralta,MIL,4,4,0,18,17,78.0,9.92,3.12,0.69,.246,70.1%,40.0%,7.1%,92.9,3.58,2.70,3.06,3.66,2.0
269,Kutter Crawford,BOS,3,6,0,21,12,77.1,8.96,3.38,1.40,.322,66.2%,31.3%,11.4%,94.7,5.47,4.62,4.34,4.33,0.5
643,Wil Crowe,PIT,6,10,4,60,1,76.0,8.05,4.50,0.95,.279,70.6%,49.8%,11.6%,95.3,4.38,4.20,4.31,4.29,-0.1
127,Zach Eflin,PHI,3,5,1,20,13,75.2,7.73,1.78,0.95,.282,66.0%,44.5%,9.6%,93.3,4.04,3.27,3.56,3.81,1.4
251,Tyler Rogers,SFG,3,4,0,68,0,75.2,5.83,2.74,0.36,.293,69.2%,56.1%,4.9%,83.5,3.57,3.36,3.44,4.12,0.6
