Name,Type,NewTeamoffSeason21,NewTeamDeadline22,DateDeadline,NewTeam,LatestTeamName
Humberto Castellanos,Reliever,No,No,5/1/2022,No,ARI
Hunter Brown,Reliever,No,No,9/1/2022,No,HOU
Hunter Dozier,Reliever,No,No,8/1/2022,No,KCR
Hunter Gaddis,Reliever,No,No,9/1/2022,No,CLE
Hunter Greene,Starter,No,No,9/1/2022,No,CIN
Hunter Strickland,Reliever,No,No,9/1/2022,No,CIN
Hyun-Jin Ryu,Reliever,No,No,6/1/2022,No,TOR
Ian Anderson,Starter,No,No,8/1/2022,No,ATL
Ian Gibaut,Reliever,No,Yes,9/1/2022,Yes,CIN
Ian Hamilton,Reliever,No,No,6/1/2022,No,MIN
Ian Kennedy,Reliever,No,No,9/1/2022,No,ARI
Ildemaro Vargas,Reliever,No,No,9/1/2022,No,WSN
J.B. Wendelken,Reliever,No,No,7/1/2022,No,ARI
Jace Peterson,Reliever,No,No,9/1/2022,No,MIL
Jack Flaherty,Reliever,No,No,9/1/2022,No,STL
Jack Mayfield,Reliever,No,No,6/1/2022,No,LAA
Jackie Bradley Jr.,Reliever,No,No,7/1/2022,No,BOS
Jackson Kowar,Reliever,No,No,7/1/2022,No,KCR
Jackson Stephens,Reliever,No,No,9/1/2022,No,ATL
Jackson Tetreault,Reliever,No,No,7/1/2022,No,WSN
Jacob Barnes,Reliever,No,Yes,9/1/2022,Yes,NYY
Jacob deGrom,Reliever,No,No,9/1/2022,No,NYM
Jaime Barria,Reliever,No,No,9/1/2022,No,LAA
Jake Bird,Reliever,No,No,9/1/2022,No,COL
Jake Brentz,Reliever,No,No,4/1/2022,No,KCR
Jake Cousins,Reliever,No,No,9/1/2022,No,MIL
Jake Diekman,Reliever,No,Yes,9/1/2022,Yes,CHW
Jake Fishman,Reliever,No,No,9/1/2022,No,MIA
Jake Hager,Reliever,No,No,6/1/2022,No,ARI
Jake Lemoine,Reliever,No,No,5/1/2022,No,OAK
Jake McGee,Reliever,No,Yes,9/1/2022,Yes,WSN
Jake Odorizzi,Starter,No,Yes,9/1/2022,Yes,ATL
Jake Reed,Reliever,No,Yes,9/1/2022,Yes,BAL
Jake Walsh,Reliever,No,No,5/1/2022,No,STL
Jake Woodford,Reliever,No,No,9/1/2022,No,STL
Jakob Junis,Starter,No,No,9/1/2022,No,SFG
James Kaprielian,Starter,No,No,9/1/2022,No,OAK
James Karinchak,Reliever,No,No,9/1/2022,No,CLE
James Naile,Reliever,No,No,9/1/2022,No,STL
James Norwood,Reliever,No,No,6/1/2022,No,PHI
Jameson Taillon,Starter,No,No,9/1/2022,No,NYY
Jandel Gustave,Reliever,No,No,7/1/2022,No,MIL
Janson Junk,Reliever,No,No,8/1/2022,No,LAA
Jared Koenig,Reliever,No,No,9/1/2022,No,OAK
Jared Solomon,Reliever,No,No,7/1/2022,No,CIN
Jason Adam,Reliever,No,No,9/1/2022,No,TBR
Jason Alexander,Reliever,No,No,9/1/2022,No,MIL
Jason Foley,Reliever,No,No,9/1/2022,No,DET
Javier Assad,Reliever,No,No,9/1/2022,No,CHC
Javy Guerra,Reliever,No,Yes,9/1/2022,Yes,TBR
Jay Jackson,Reliever,No,No,8/1/2022,No,ATL
JC Mejia,Reliever,No,No,5/1/2022,No,MIL
Jeff Brigham,Reliever,No,No,9/1/2022,No,MIA
Jeff Hoffman,Reliever,No,No,7/1/2022,No,CIN
Jeffrey Springs,Starter,No,No,9/1/2022,No,TBR
Jerad Eickhoff,Reliever,No,No,6/1/2022,No,PIT
Jeremiah Estrada,Reliever,No,No,9/1/2022,No,CHC
Jeremy Beasley,Reliever,No,No,7/1/2022,No,TOR
Jermaine Palacios,Reliever,No,No,9/1/2022,No,MIN
Jesse Chavez,Reliever,No,Yes,9/1/2022,Yes,ATL
Jesus Cruz,Reliever,No,No,6/1/2022,No,ATL
Jesus Luzardo,Starter,No,No,9/1/2022,No,MIA
Jesus Tinoco,Reliever,No,No,9/1/2022,No,TEX
Jeurys Familia,Reliever,No,Yes,9/1/2022,Yes,BOS
Jharel Cotton,Reliever,No,Yes,9/1/2022,Yes,SFG
Jhoan Duran,Reliever,No,No,9/1/2022,No,MIN
Jhon Romero,Reliever,No,No,4/1/2022,No,MIN
Jhonathan Diaz,Reliever,No,No,6/1/2022,No,LAA
Jhoulys Chacin,Reliever,No,No,9/1/2022,No,COL
Jimmy Herget,Reliever,No,No,9/1/2022,No,LAA
Jimmy Lambert,Reliever,No,No,9/1/2022,No,CHW
