Name,Team,Type,CSW%,F-Strike%,RE24,WAR,K-BB%,CSW%Diff,F-Strike%Diff,RE24Diff
Cody Morris,CLE,Reliever,25.2,63.0,3.31,0.1,11.0,-0.0,-0.0,-0.0
Cody Poteet,MIA,Reliever,26.166666666666668,56.0,-0.6633333333333332,0.0,9.0,-0.0,-0.0,-0.0
Cody Sedlock,BAL,Reliever,28.2,62.5,-2.96,0.0,12.5,-0.0,-0.0,-0.0
Cody Stashak,MIN,Reliever,30.35,63.1,-1.155,0.2,24.0,-0.0,-0.0,-0.0
Cole Irvin,OAK,Starter,25.45,66.01666666666667,-0.555,0.2666666666666666,12.3,-0.0,-0.0,-0.0
Cole Ragans,TEX,Reliever,22.25,60.05,-2.29,0.15,5.9,-0.0,-0.0,-0.0
Cole Sands,MIN,Reliever,25.5,56.575,-1.53,-0.025,11.6,-0.0,-0.0,-0.0
Cole Sulser,MIA,Reliever,28.7,63.28,-0.408,0.0,15.24,-0.0,-0.0,-0.0
Cole Waites,SFG,Reliever,22.1,72.0,0.18,-0.1,0.0,-0.0,-0.0,-0.0
Colin Holderman,NYM,Reliever,28.46666666666667,60.833333333333336,1.1266666666666667,0.1333333333333333,11.4,-0.0,-0.0,-0.0
Colin Holderman,PIT,Reliever,17.8,60.8,-2.13,-0.1,-2.0,-10.666666666666668,-0.033333333333338544,-3.256666666666667
Colin Poche,TBR,Reliever,25.23333333333333,54.75,-0.5199999999999999,-0.0666666666666666,15.5,-0.0,-0.0,-0.0
Collin McHugh,ATL,Reliever,28.9,64.91666666666667,3.0033333333333334,0.2333333333333333,23.0,-0.0,-0.0,-0.0
Collin Snider,KCR,Reliever,25.16,50.7,-0.324,-0.02,4.339999999999999,-0.0,-0.0,-0.0
Collin Wiles,OAK,Reliever,27.9,58.5,-0.9,0.0,17.1,-0.0,-0.0,-0.0
Conner Menez,CHC,Reliever,20.8,20.0,0.25,0.0,20.0,-0.0,-0.0,-0.0
Connor Brogdon,PHI,Reliever,29.83333333333333,64.88333333333333,0.5933333333333334,0.0999999999999999,20.58333333333333,-0.0,-0.0,-0.0
Connor Overton,CIN,Reliever,24.9,63.86666666666667,2.84,0.2333333333333333,2.7999999999999994,-0.0,-0.0,-0.0
Connor Sadzeck,MIL,Reliever,22.9,69.2,-1.55,-0.1,7.7,-0.0,-0.0,-0.0
Connor Seabold,BOS,Reliever,26.133333333333336,61.26666666666667,-4.786666666666666,-0.0666666666666666,12.633333333333333,-0.0,-0.0,-0.0
Cooper Criswell,TBR,Reliever,37.8,84.6,0.01,0.1,23.1,-0.0,-0.0,-0.0
Corbin Burnes,MIL,Starter,32.31666666666667,57.41666666666666,4.621666666666666,0.75,24.383333333333336,-0.0,-0.0,-0.0
Corbin Martin,ARI,Reliever,24.933333333333334,58.7,-0.5366666666666667,-0.0333333333333333,5.666666666666667,-0.0,-0.0,-0.0
Corey Dickerson,STL,Reliever,11.1,66.7,0.47,0.0,-16.7,-0.0,-0.0,-0.0
Corey Kluber,TBR,Starter,29.666666666666668,67.68333333333334,-1.54,0.5166666666666667,17.216666666666665,-0.0,-0.0,-0.0
Corey Knebel,PHI,Reliever,26.68,56.620000000000005,-0.1139999999999998,-0.02,6.42,-0.0,-0.0,-0.0
Cory Abbott,WSN,Reliever,27.175,52.475,-1.295,-0.1,19.75,-0.0,-0.0,-0.0
Craig Kimbrel,LAD,Reliever,29.933333333333334,63.63333333333333,-0.7816666666666667,0.1333333333333333,18.066666666666663,-0.0,-0.0,-0.0
Craig Stammen,SDP,Reliever,28.18,59.260000000000005,-1.406,-0.06,16.080000000000002,-0.0,-0.0,-0.0
Cristian Javier,HOU,Starter,28.2,55.13333333333333,3.9583333333333335,0.5833333333333334,24.5,-0.0,-0.0,-0.0
Cristofer Ogando,TBR,Reliever,28.25,64.6,-0.015,0.0,5.55,-0.0,-0.0,-0.0
Cristopher Sanchez,PHI,Reliever,25.75,56.26666666666666,-0.6333333333333332,-0.0166666666666666,12.433333333333332,-0.0,-0.0,-0.0
DL Hall,BAL,Reliever,29.450000000000003,52.6,-2.83,0.2,19.0,-0.0,-0.0,-0.0
